Series_Title,Overview,Cleaned_Overview,Sentiment,Predicted_Sentiment
The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,jason bourne dodge ruthless cia official agent new assassination program searching origin life trained killer,negative,0
Bin-jip,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,transient young man break empty home partake vacationing resident life day,neutral,2
Sin City,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",movie explores dark miserable town basin city tell story three different people caught violent corruption,negative,0
Le scaphandre et le papillon,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,true story elle editor jeandominique bauby suffers stroke live almost totally paralyzed body left eye isnt paralyzed,negative,2
G.O.R.A.,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,slick young turk kidnapped extraterrestrial show great « humanitarian spirit » outwitting evil commanderinchief planet gora,negative,2
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,rat cook make unusual alliance young kitchen worker famous restaurant,positive,2
Casino Royale,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",earning status licence kill secret agent james bond set first mission bond must defeat private banker funding terrorist highstakes game poker casino royale montenegro,negative,0
Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",bride continues quest vengeance former bos lover bill reclusive bouncer budd treacherous oneeyed elle,neutral,1
Vozvrashchenie,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",russian wilderness two brother face range new conflicting emotion father man know single photograph resurfaces,positive,0
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,boy raised buddhist monk isolated floating temple year pas like season,neutral,0
Mar adentro,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",factual story spaniard ramon sampedro fought thirtyyear campaign favor euthanasia right die,positive,2
Cinderella Man,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",story james j braddock supposedly washedup boxer came back become champion inspiration,neutral,1
Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",naina introverted perpetually depressed girl life change meet aman aman secret change life forever embroiled rohit nainas best friend conceals love,positive,2
Mou gaan dou,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",story mole police department undercover cop objective find mole cop,neutral,1
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",blacksmith turner team eccentric pirate captain jack sparrow save love governor daughter jack former pirate ally undead,positive,2
Big Fish,A frustrated son tries to determine the fact from fiction in his dying father's life.,frustrated son try determine fact fiction dying father life,negative,0
The Incredibles,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",family undercover superheroes trying live quiet suburban life forced action save world,negative,0
Yeopgijeogin geunyeo,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",young man see drunk cute woman standing close track metro station seoul pull back end getting trouble repeatedly starting train,negative,0
